"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT01","WT03"
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-05-04",,,"0.32",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-05-05",,,"0.93",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-05-06",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-05-07",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-05-08",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-05-09",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-05-10",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-05-11",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-05-12",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-05-13",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-05-14",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-05-15",,,"0.02",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-05-16",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-05-17",,,"0.03",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-05-18",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-05-19",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-05-20",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-05-21",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-05-22",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-05-23",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-05-24",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-05-25",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-05-26",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-05-27",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-05-28",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-05-29",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-05-30",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-05-31",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-01",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-02",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-03",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-04",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-05",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-06",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-07",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-08",,,"0.01",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-09",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-10",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-11",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-12",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-13",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-14",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-15",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-16",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-17",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-18",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-19",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-20",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-21",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-22",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-23",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-24",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-25",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-26",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-27",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-28",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-29",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-06-30",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-01",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-02",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-03",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-04",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-05",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-06",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-07",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-08",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-09",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-10",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-11",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-12",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-13",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-14",,,"0.01",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-15",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-16",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-17",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-18",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-19",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-20",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-21",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-22",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-23",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-24",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-25",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-26",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-27",,,"0.01",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-28",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-29",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-30",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-07-31",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-01",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-02",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-03",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-04",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-05",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-06",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-07",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-08",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-09",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-10",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-11",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-12",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-13",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-14",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-15",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-16",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-17",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-18",,,"0.10",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-19",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-20",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-21",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-22",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-23",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-24",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-25",,,"0.13",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-26",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-27",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-28",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-29",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-30",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-08-31",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-01",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-02",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-03",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-04",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-05",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-06",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-07",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-08",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-09",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-10",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-11",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-12",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-13",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-14",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-15",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-16",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-17",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-18",,,"0.01",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-19",,,"0.01",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-20",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-21",,,"0.01",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-22",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-23",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-24",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-25",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-26",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-27",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-28",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-29",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-09-30",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-01",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-02",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-03",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-04",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-05",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-06",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-07",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-08",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-09",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-10",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-11",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-12",,,"0.05",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-13",,,"0.04",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-14",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-15",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-16",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-17",,,"0.00",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-18",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-19",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-20",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-21",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-22",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-23",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-24",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-25",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-26",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-27",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-28",,,"0.00",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-29",,,"0.23",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-30",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-10-31",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-01",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-02",,,"0.20",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-03",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-04",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-05",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-06",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-07",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-08",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-09",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-10",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-11",,,"0.19",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-12",,,"0.31","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-13",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-14",,,"0.05",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-15",,,"0.06",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-16",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-17",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-18",,,"0.04",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-19",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-20",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-21",,,"2.27",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-22",,,"0.36",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-23",,,"2.86",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-24",,,"0.16",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-25",,,"0.08",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-26",,,"0.33",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-27",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-28",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-29",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-11-30",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-01",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-02",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-03",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-04",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-05",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-06",,,"0.00",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-07",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-08",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-09",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-10",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-11",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-12",,,"1.00",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-13",,,"0.29",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-14",,,"1.99",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-15",,,"0.35",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-16",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-17",,,"1.02",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-18",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-19",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-20",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-21",,,"0.02",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-22",,,"0.54",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-23",,,"0.63",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-24",,,"0.56",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-25",,,"0.13",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-26",,,"0.54",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-27",,,"1.88",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-28",,,"0.24",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-29",,,"0.53",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-30",,,"0.42",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2024-12-31",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2025-01-01",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2025-01-02",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2025-01-03",,,"0.06",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2025-01-04",,,"0.28",,,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2025-01-05",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2025-01-06",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2025-01-07",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2025-01-08",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2025-01-09",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2025-01-10",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2025-01-11",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2025-01-12",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2025-01-13",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2025-01-14",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2025-01-15",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2025-01-16",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2025-01-17",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2025-01-18",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2025-01-19",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2025-01-20",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2025-01-21",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2025-01-22",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2025-01-23",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2025-01-24",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2025-01-25",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2025-01-26",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2025-01-27",,,"0.00","0.0",,,,,,,
"US1CAMR0016","37.8593483","-122.49739075","48.5","2025-01-28",,,"0.00","0.0",,,,,,,
